"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016006567,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","1","","08"
2016016500,"99","9","114 S SHIRK RD","","NEW HOLLAND","PA","17557","HOOVER DIESELS SERVICE","9999999999","019000","","","","","N","","","","","","U","","1","","05"
2016017308,"99","8","45 ERICK RD","","LANCASTER","PA","17601","RED ROSE TRANSIT AUTHORITY","9999999999","999999","","","","","N","","","","","","U","","1","","11"
2016019167,"03","1","1614 DIVISION HWY","","EPHRATA","PA","17522","GLENWOOD FOODS","7173717872","999999","","","","","N","","","","","","N","","1","00502068","08"
2016024660,"02","8","102 MARTIC HEIGHTS DR","","HOLTWOOD","PA","17532","ESHBACH INC","7172844162","014000","","","","","N","","","","","","N","","2","","11"
2016027483,"05","1","PO BOX E","","HYRUM","UT","84319","MILLER BROTHERS EXPRESS LLC","4352456025","080000","","","","","N","","","","","","N","","1","00300400","08"
2016032622,"02","8","119 BUS LANE","","PUNXSUTAWNEY","PA","15767","STA OF PENNSYLVANIA","7174593829","006400","","","","","N","","","","","","N","","1","","11"
2016037256,"02","1","1200 HOOVER AVE","","ALLENTOWN","PA","18109","US FOODS","8004410998","048000","","","","","N","","","","","","N","","1","00745614","03"
2016038841,"03","4","621 STEVENS ROAD","","EPHRATA","PA","17522","HENDRIX ISA LLC","7177380424","052000","","","","","N","","","","","","N","","2","02574051","04"
2016039890,"03","2","711 JORIE BLVD STE 101","","NORTH OAK BROOK","IL","60523","SUPERIOR BULK LOGISTICS","8002893477","999999","","","","","N","","","","","","N","","2","00834726","08"
2016040106,"99","9","UNKNOWN ADDRESS","","UNKNOWN CITY","ZZ","99999","UNKNOWN CARRIER","9999999999","","","","","","N","","","","","","N","","1","","99"
2016043536,"03","9","950 PEQUEA CREEK RD","","PEQUEA","PA","17565","KEVIN KAUFFMAN","7175873592","080000","","","","","N","","","","","","N","","2","02145237","08"
2016043634,"03","7","230 OBIE ROAD","PO BOC 380","SCHAEFFERSTOWN","PA","17088","LEBANON FARMS DISPOSAL","7179492363","073280","","","","","N","","","","","","N","","1","02098040","04"
2016045973,"99","9","1115 MOUNT JOY RD","","MANHEIM","PA","17545","GIBBLE EXCAVATING LLC","9999999999","011600","","","","","N","","","","","","U","","2","","05"
2016048143,"99","9","1300 CROOKED HILL RD","","HARRISBURG","PA","17110","GEORGE A KINT INC","9999999999","011030","","","","","N","","","","","","U","","2","","05"
2016052535,"02","8","164 EAST SUNHILL ROAD","","MANHEIM","PA","17545","JOSEPH C. GRAYBILL INC","7176657371","036000","","","","","N","","","","","","N","","2","00348362","11"
2016054377,"03","9","615 JB HUNT CORPORATE DR","","LOWELL","AR","72745","JB HUNT TRANSPORT","8004524868","080000","","","","","N","","","","","","N","","2","00080806","08"
2016055016,"04","2","85 WHITE OAK RD","","MANHEIM","PA","17545","WORLEY AND OBETZ","8006976891","080000","","","","","N","","","","","","N","","2","00286305","08"
2016063847,"02","8","45 ERICK RD","","LANCASTER","PA","17601","RED ROSE TRANSIT AUTHORITY","7173581930","999999","","","","","","","","","","","N","","1","","11"
2016070134,"02","8","45 ERICK ROAD","","LANCASTER","PA","17601","RED ROSE TRANSIT AUTHORITY","7172911243","039600","","","","","N","","","","","","N","","1","","11"
2016085746,"03","9","2100 NORTH GEROGE STREE","","YORK","PA","174040534","RUTTERS BRO DAIRY INC","8666157340","080000","","","","","N","","","","","","N","","2","00011707","08"
2016089983,"05","9","7595 MAPLEWOOD DRIVE","","ROWLETT","TX","75089","GENEM LOGISTICS","9728249319","008000","","","","","N","","","","","","N","","2","01732161","08"
2016090990,"03","9","600 WINDSOR ROAD","","GLENVIEW","IL","60025","RING","8774993103","999999","","","","","N","","","","","","U","","1","02106977","08"
2016092698,"02","7","1245 EAGLES WAY","PO BOX 288","EAST EARL","PA","17522","EAGLE DISPOSAL OF PA","7173559560","026000","","","","","N","","","","","","N","","2","00140530","04"
