"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"0758","3","0","0","0","0","0","0","0","0","4","0","","36","01","2017","2017000050","1","40.033","-76.3068","0755","08","0","0","0","0","0","0","0","1","2","0","0","0","07","1","0","01","1","40 01:58.902","2","00","76 18:24.637","0","0","0","0","36301","0","0","0","N","0","0","0","2","36301","0","","1","01","N","N","0","","0","0","1","3","2","N","0751","0","4","0","0","0","0","0","3","0","4","N","","","","","","","","","","","","03","  ","","",""
"0919","1","0","0","0","0","0","0","0","0","7","0","","36","01","2017","2017000059","1","40.0911","-76.168","0913","08","0","0","0","0","0","0","0","0","1","0","0","0","09","1","0","00","1","40 05:27.821","3","00","76 10:04.713","0","0","0","0","36234","0","0","0","N","0","0","0","1","36215","0","","4","01","N","N","0","","0","0","0","0","0","N","0912","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"0451","1","0","0","0","0","0","0","0","0","7","0","","36","01","2017","2017000142","1","40.0816","-76.4921","0438","08","0","0","0","0","0","0","0","0","4","0","0","0","04","2","1","00","2","40 04:53.896","5","00","76 29:31.593","8","0","0","0","36230","0","0","0","N","0","0","0","2","36410","0","","4","01","N","N","0","","0","0","0","0","0","Y","0436","1","1","0","0","1","1","1","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"2144","1","0","0","0","0","0","0","0","0","4","0","","36","01","2017","2017000167","1","40.0655","-76.2728","2137","08","0","0","0","0","0","0","0","0","3","0","0","0","21","2","0","00","1","40 03:55.685","4","07","76 16:22.173","0","0","0","0","36101","0","0","0","N","0","0","0","4","36101","0","","1","01","N","N","0","","0","0","1","0","0","N","2134","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1216","2","0","0","0","0","0","0","0","0","1","0","","36","01","2017","2017000292","2","40.0642","-76.3411","1211","08","0","0","1","0","0","1","0","0","2","0","0","0","12","1","0","00","1","40 03:51.227","4","00","76 20:28.084","0","0","0","0","36101","0","0","0","N","0","0","0","3","36101","0","","1","09","N","N","0","","0","0","0","0","0","N","1208","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","07","  ","","",""
"0604","2","0","0","0","0","0","0","0","0","4","0","","36","01","2017","2017000467","3","40.068","-76.3309","0556","08","0","0","1","0","0","0","0","0","","0","0","0","05","3","0","00","0","40 04:04.825","","00","76 19:51.124","9","0","0","0","36101","0","0","0","N","0","0","0","3","36101","0","","1","09","N","N","0","","0","0","0","0","0","","0550","0","2","0","0","0","0","1","3","0","2","N","","","","","","","","","","","","07","  ","","",""
"1636","1","0","0","0","0","0","0","0","0","7","0","","36","01","2017","2017000479","2","40.2552","-76.1502","1633","08","0","0","0","0","0","0","0","0","2","0","0","0","16","2","0","00","2","40 15:18.596","6","00","76 09:00.666","0","0","0","0","36236","0","0","0","N","0","0","0","1","36408","0","","5","09","N","N","0","","0","0","0","0","0","Y","1631","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","07","  ","","",""
"1240","2","0","0","0","0","0","0","0","0","4","0","","36","01","2017","2017000584","3","40.0409","-76.3919","1236","08","0","0","0","0","0","1","0","0","2","0","0","0","12","1","0","00","1","40 02:27.215","4","00","76 23:30.967","0","0","0","0","36214","0","0","0","N","0","0","0","2","36214","0","","1","09","N","N","0","","0","0","0","0","0","N","1235","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","07","  ","","",""
"1332","0","0","0","0","0","0","0","0","0","5","1","","36","01","2017","2017000598","3","40.0642","-76.2828","1328","08","0","0","0","0","0","2","0","0","","0","1","0","13","1","0","00","0","40 03:51.180","","00","76 16:58.109","0","0","0","0","36101","0","0","0","Y","0","0","0","3","36101","0","","1","09","N","N","0","","0","0","2","0","0","","1324","0","3","0","0","0","0","0","3","0","3","N","","","","","","","","","","","","07","  ","","",""
"1548","2","0","0","0","0","0","0","0","0","1","0","","36","01","2017","2017000644","3","40.1476","-76.6034","1547","08","0","0","0","0","0","1","0","0","2","0","0","0","15","1","0","00","1","40 08:51.317","2","00","76 36:12.281","0","0","0","0","36407","0","0","0","N","0","0","0","7","36407","0","","1","09","N","N","0","","0","0","1","0","0","N","1545","0","3","0","0","0","0","0","2","0","3","N","","","","","","","","","","","","07","  ","","",""
"1745","1","0","0","0","0","0","0","0","0","7","0","","36","01","2017","2017000703","2","39.9256","-76.3737","1732","08","0","0","0","0","0","1","0","0","","0","0","0","17","2","0","00","0","39 55:32.000","","00","76 22:25.200","0","0","0","0","36206","0","0","0","N","0","0","0","1","36503","0","","4","09","N","N","0","","0","0","0","0","0","","1730","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","07","  ","","",""
"2328","1","0","0","0","0","0","0","0","0","6","0","","36","01","2017","2017000747","3","40.0364","-76.3054","2325","08","0","0","0","0","0","1","0","0","2","0","0","0","23","3","2","01","1","40 02:10.941","1","00","76 18:19.324","3","0","0","0","36301","0","0","0","N","0","0","0","2","36301","1","","1","09","N","N","0","","1","0","1","3","2","N","2322","2","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"0607","1","0","0","0","0","0","0","0","0","4","0","","36","01","2017","2017000781","4","40.1117","-76.4517","0600","08","0","0","0","0","0","0","0","0","2","0","0","0","06","3","1","01","1","40 06:42.333","6","00","76 27:05.926","4","0","0","0","36230","0","0","0","N","0","0","0","2","36410","1","","1","09","N","N","0","","0","0","0","3","2","N","0600","1","2","0","0","0","0","0","1","1","2","N","","","","","","","","","","","","05","  ","","",""
"0757","2","0","0","0","0","0","0","0","0","4","0","","36","01","2017","2017000806","4","40.037","-76.3147","0757","08","0","0","0","0","1","0","0","0","","0","0","0","07","1","0","01","0","40 02:13.183","","00","76 18:53.043","0","0","0","0","36301","0","0","0","N","0","0","0","3","36301","0","","1","01","N","N","0","","0","0","0","3","3","","0757","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
