"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2017060845","3","3","0041","0060","1152","S","3","45","NEWPORT PK","2","3","36"
"2017058415","3","3","2033","0080","74","N","2","40","CHERRY HILL RD","2","3","36"
"2017057105","3","3","0324","0220","1889","N","02","45","NEW DANVILLE PK","2","3","36"
"2017066539","3","3","0222","0631","741","S","2","25","PRINCE ST","2","3","36"
"2017069513","3","3","0462","0200","673","U","2","40","COLUMBIA AV","2","3","36"
"2017060994","3","3","0441","0020","1941","N","2","35","WATER ST","2","3","36"
"2017071278","3","3","0023","0302","215","E","2","40","NEW HOLLAND PK","2","3","36"
"2017068708","3","3","0741","0490","0","W","2","50","STRASBURG RD","2","3","36"
"2017066971","3","3","0222","0350","2417","S","2","55","BEAVER VALLEY PK","2","3","36"
"2017090398","3","3","0072","0230","2534","S","2","55","LANCASTER RD","2","3","36"
"2017068242","3","3","0030","0380","1047","E","2","40","LINCOLN HW","2","3","36"
"2017074389","4","4","","","","N","02","35","LITITZ RD","4","","36"
"2017060254","3","3","0896","0300","2031","N","2","45","HARTMAN BRIDGE RD","2","3","36"
"2017054947","4","4","","","","N","01","25","MARY ST","4","","36"
"2017056936","3","3","0072","0120","1421","S","2","35","MANHEIM PK","2","3","36"
"2017076514","4","4","4003","0040","0","N","2","35","KINDERHOOK RD","2","3","36"
"2017062385","3","3","0441","0190","0","S","2","55","RIVER RD","2","3","36"
"2017054849","3","3","1047","0110","0","S","2","40","SCHOENECK RD","2","3","36"
"2017073681","3","3","1003","0010","996","S","2","50","HORSESHOE RD","2","3","36"
"2017070022","3","3","0741","0090","800","W","2","45","ROHRERSTOWN RD","2","3","36"
"2017048581","4","4","","","","W","02","25","CHERRY ST","4","","36"
"2017071635","4","3","","","","S","02","25","LIME ST","4","","36"
"2017061306","3","3","","","","N","02","35","RETTEW MILL RD","4","","36"
"2017076597","3","3","1063","0041","0","W","2","35","NEW HOLLAND PK","2","3","36"
"2017058590","3","3","0272","0580","302","N","2","40","OREGON PK","2","3","36"
"2017057820","3","4","","","","S","02","25","FIELDGATE DR","4","","36"
"2017075626","3","3","0072","0340","1670","N","2","45","LEBANON RD","2","3","36"
"2017068729","3","3","0896","0252","1674","N","2","25","HISTORIC DR","2","3","36"
"2017054369","3","3","","","","E","02","35","RED RUN RD","4","","36"
"2017058023","4","3","","","","W","02","55","HOSTETTER RD","4","","36"
"2017069269","3","3","4020","0090","1365","E","2","35","HARRISBURG PK","2","3","36"
"2017061776","5","5","8044","0250","0","E","1","35","RAMP G RD","2","1","36"
"2017056999","3","3","0222","0560","826","N","2","35","HIGHLAND AV","2","3","36"
"2017061062","3","3","0222","0771","203","S","2","65","","2","1","36"
"2017071029","3","3","7076","0130","2640","E","4","70","EAST/WEST PK","5","1","36"
"2017008958","3","3","","","","N","02","35","CENTERVILLE RD","4","","36"
"2017017638","3","3","2007","0080","243","E","2","45","SPRUCE GROVE RD","2","3","36"
"2017004410","3","3","","","","E","02","25","E NEW ST","4","","36"
"2017015533","3","3","0272","0710","2015","U","2","35","READING RD","2","3","36"
"2017015279","3","3","0030","0550","1564","W","2","45","LINCOLN HW","2","3","36"
"2017023201","3","3","0322","0100","471","E","2","40","28TH DIVISION HW","2","3","36"
"2017022844","4","4","","","","N","02","25","CORNELL AV","4","","36"
"2017010026","4","4","","","","N","02","25","GRANT ST","4","","36"
"2017008402","4","3","","","","N","02","25","PLUM ST","4","","36"
"2017014771","4","3","","","","S","02","35","OAK ST","4","","36"
"2017011120","3","3","0010","0070","0","N","2","45","","2","3","36"
"2017015533","5","5","","","","U","02","45","MEADOW VALLEY RD","4","","36"
"2017020100","3","3","0023","0180","0","E","2","45","MARIETTA AV","2","3","36"
"2017001962","4","3","","","","N","02","25","FRANKLIN ST","4","","36"
"2017022813","3","3","7076","0050","3168","W","4","70","EAST/WEST TU","5","1","36"
"2017010031","3","3","0741","0130","1232","B","2","35","MILLERSVILLE RD","2","3","36"
"2017010494","3","3","","","","W","03","35","W AIRPORT RD","4","","36"
"2017010973","4","4","","","","N","02","35","CENTERVILLE RD","4","","36"
"2017014370","3","3","0272","0720","0","N","2","35","READING RD","2","2","36"
"2017014879","4","4","0501","0230","0","N","2","55","FURNACE HILLS PK","2","3","36"
"2017000818","4","5","","","","N","01","25","FAIRVIEW ST","4","","36"
"2017022072","3","3","0372","0100","2163","E","2","55","HOLTWOOD RD","2","3","36"
"2017002861","3","3","0030","","","E","02","55","ROUTE 30 HW","2","","36"
"2017013753","3","3","0772","0180","476","E","2","55","MOUNT JOY RD","2","3","36"
