"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2018010002","1","0","","7","",""
"2018010503","1","0","PA","7","PT8015G","2006"
"2019001159","1","0","TN","6","TR684ZMZ","2018"
"2018020582","1","0","OK","7","1251KP","2020"
"2018020833","3","0","MI","7","D666391","2099"
"2018023300","2","0","PA","3","833D4","2018"
"2018028176","1","0","WI","7","708812","2018"
"2018032468","2","0","","7","",""
"2018034414","2","0","PA","3","99999999",""
"2018034453","1","0","PA","3","XR31927","2022"
"2018034485","1","0","PA","3","XGX1144","2014"
"2018055182","2","0","PA","7","PT2005H","9999"
"2018057090","1","0","ME","3","21-84049","2018"
"2018058357","2","0","PA","3","XKY5934","2019"
"2018078271","2","0","PA","6","PT8863W","2019"
"2018094875","1","0","PA","","",""
"2018100811","2","0","NY","6","BC95867","2018"
"2018102274","1","0","OH","6","SXN5803","2019"
"2018103038","2","0","PA","7","PT063C1","2019"
"2018103342","1","0","ZZ","8","9999999","2099"
"2018105787","1","0","PA","1","",""
"2018106163","2","0","PA","3","XKL9092","2021"
"2018109484","2","0","PA","1","",""
"2018118368","2","0","","9","",""
"2018119929","1","0","IN","7","P827488","2019"
"2018123425","1","0","","7","",""
"2018005726","2","0","PA","7","PT4268X","2018"
"2018014386","1","0","VA","7","581957TL","2018"
"2018016807","3","0","PA","6","XHH2214","2018"
"2018021734","2","0","PA","7","PT1555V","2018"
"2018027123","2","0","OH","7","F304505","2018"
"2018027884","2","0","PA","7","PT8813T","2018"
"2018035102","2","0","IL","7","579930ST","2018"
"2018035509","1","0","ZZ","9","UNK","2099"
"2018038960","1","0","ME","7","182759A","2018"
"2018039810","2","0","ME","7","314587Z","2031"
"2018044973","1","0","MO","7","PR8612","2018"
"2018050060","2","0","ME","7","384028Z","2018"
"2018053309","2","0","ME","7","2340712",""
"2018058785","1","0","PA","7","PT-0778N","2018"
"2018062470","2","0","PA","6","ELD0591","2019"
"2018070612","1","0","PA","5","XJY1001","2018"
"2018074221","2","0","IL","7","T512562","2099"
