"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2019037783,63,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"000","","","","PA"
2019021185,54,"08","M","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2019073393,55,"08","M","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019110073,86,"08","02","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2019004357,42,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2019046284,19,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F"," ",2,"","","","","PA"
2019090247,20,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019025053,20,"19","","","",""," ","0","0","0","0","8","  "," ",1,"1","01","01","F","N",1,"000","","","","PA"
2019089497,2,"00","","","",""," ","0","1","0","1","0","  "," ",5,"2","22","06","M","N",1,"","","","","PA"
2019105958,47,"09","","","",""," ","1","1","0","1","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2019133150,74,"00","97","","",""," ","0","1","0","1","0","  "," ",4,"2","02","04","F","N",2,"","","","","PA"
2019090688,30,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","01","01","F","N",1,"000","","","","FL"
2019098855,6,"00","","","","","2","0","0","0","0","3","05","3",3,"7","00","00","M","N",2,"","","","","  "
2019084862,22,"09","","","",""," ","0","0","0","0","4","  "," ",2,"1","03","01","M","Y",2,"","","","","MD"
2019080417,63,"00","","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2019013953,1,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","24","06","M","N",1,"","","","","PA"
2019116905,28,"00","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019060614,64,"08","M","","",""," ","0","1","0","1","0","  "," ",4,"2","03","03","F","N",3,"","","","","PA"
2019120034,64,"09","00","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M"," ",2,"","","","","PA"
2019047410,48,"09","","","",""," ","0","1","0","1","4","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2019089019,55,"08","M","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2019087245,23,"08","M","","",""," ","0","0","0","0","3","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2019079326,2,"00","","","",""," ","0","1","0","1","0","  "," ",3,"2","22","04","M","N",1,"","","","","PA"
2019027051,62,"09","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2019116490,44,"99","","","",""," ","0","1","0","3","0","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2019048869,36,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019004772,37,"08","02","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019085957,66,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019016226,38,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","01","01","F","N",2,"000","","","","PA"
