"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2019001724","3","1","","1","11","Y","TOYT","2016","01","1","","1","00","S","015","0","","1","01","01","01","01","PA","1","01","4T1BK1EB2GU","P4D"
"","09","N","2019004773","1","1","","1","06","Y","TESL","2018","01","1","","1","00","S","000","0","","3","01","02","03","03","PA","2","01","5YJSA1E21JF","P"
"1","02","N","2019004789","1","1","0","1","14","Y","HOND","2008","01","1","14","1","00","W","999","0","9","2","01","07","01","06","PA","1","01","2HGFG21578H","PCP"
"","15","N","2019005062","1","1","","1","12","Y","MITS","2002","01","1","","1","00","E","999","0","","1","01","05","12","04","PA","1","01","JA4LS21H42J","T4W"
"","15","N","2019001104","3","1","","2","12","Y","TOYT","2015","01","1","","1","00","W","999","0","","2","01","01","01","01","PA","1","01","2T3RFREV3FW","T4W"
"","02","N","2019004353","3","1","","2","12","Y","TOYT","2001","01","1","","1","00","W","999","0","","1","01","02","01","01","AL","1","01","2T1CG22P71C","PCP"
"","15","N","2019003137","1","1","","1","06","Y","FORD","2009","01","1","","1","00","E","000","0","","2","01","12","03","04","PA","2","01","1FMCU94G69K","T4W"
"","04","N","2019017251","2","1","","3","01","Y","KIA","2008","01","1","","1","00","E","025","","","1","01","01","01","01","PA","1","01","KNAFE121985","P4D"
"","15","N","2019017487","1","1","","3","06","Y","BUIC","2014","01","2","","1","00","S","000","","","2","01","03","03","01","PA","2","06","5GAKVBKD8EJ","T4W"
"","09","N","2019003781","3","1","","1","11","Y","TOYT","2018","03","1","","1","00","E","070","","","1","01","07","01","03","NC","1","01","4T1B11HK8JU","P"
"","04","N","2019001953","3","1","","1","08","Y","VOLK","2015","01","3","","1","00","S","999","0","","2","01","07","01","01","PA","3","01","3VW2K7AJ9FM","P4D"
"","51","Y","2019017058","1","1","","1","12","Y","KW","2000","02","1","","1","00","W","000","0","","3","01","04","03","03","PA","2","05","1NKDXTEX8YJ","TCC"
"","51","N","2019015868","3","1","","1","11","Y","CHEV","1999","02","1","","1","00","S","040","0","","2","01","07","01","01","PA","2","04","1GCEK19T8XZ","T3C"
"","04","N","2019015976","3","1","","1","01","Y","TOYT","2009","01","2","","1","00","E","999","0","","1","01","04","01","01","PA","1","01","JTDBL40E19J","P4D"
"","04","N","2019014035","3","1","","3","11","Y","CHRY","2016","01","1","","4","00","N","025","0","","1","01","05","16","01","PA","3","01","1C3CCCAB3GN","P4D"
