"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2020039579,52,"08","02","","",""," ","0","1","0","1","0","  "," ",3,"2","01","03","F","N",2,"","","","","PA"
2020053680,80,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2020046955,65,"00","02","00","00","00"," ","0","0","0","0","2","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2020050637,18,"09","00","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2020076030,44,"00","00","","",""," ","0","1","0","1","0","  "," ",7,"2","03","03","F","N",3,"","","","","PA"
2021002801,74,"08","01","02","03",""," ","9","1","0","0","3","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2020103962,28,"09","00","","",""," ","1","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2020113804,58,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2020034807,60,"00","00","00","00","00"," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",1,"","","","","PA"
2020100299,16,"08","02","","",""," ","","0","0","0","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2020099888,35,"00","97","","",""," ","0","0","0","0","3","  "," ",3,"2","01","03","M","N",1,"","","","","PA"
2020048955,79,"08","02","","",""," ","0","0","0","0","4","  "," ",2,"1","03","01","F","Y",2,"000","","","","PA"
2020093954,71,"08","01","","",""," ","0","0","0","0","3","  "," ",2,"1","03","01","F","N",2,"000","","","","PA"
2020026767,54,"08","01","02","03",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2020057152,21,"08","02","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2020044935,22,"05","97","","",""," ","0","0","0","0","3","  "," ",1,"1","05","01","M","N",1,"","","","","PA"
2020074469,47,"09","00","","",""," ","0","0","0","0","0","  "," ",3,"1","03","01","M","N",3,"","","","","MD"
2020079776,27,"00","00","00","00","00"," ","0","0","0","0","3","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2020014361,19,"00","00","","",""," ","0","1","0","1","0","  "," ",1,"1","01","01","F","N",1,"","","","","PA"
2020037559,64,"09","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2020094667,51,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","R",2,"","","","","PA"
2020030186,19,"09","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2020018996,34,"09","00","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020011510,21,"00","00","","",""," ","0","1","0","1","0","  "," ",3,"2","03","06","M","N",1,"","","","","PA"
2020025079,17,"08","02","","",""," ","0","1","0","1","3","  "," ",4,"2","03","03","M","N",2,"","","","","PA"
2020108073,74,"00","00","","",""," ","0","1","0","0","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2020112009,28,"00","97","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2020113695,35,"08","02","","",""," ","9","1","0","1","3","  "," ",5,"1","03","01","M","Y",4,"","","","","PA"
2021000168,19,"09","00","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","F","N",2,"000","","","","PA"
2020033300,63,"00","00","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","F","N",3,"","","","","PA"
2020041475,18,"00","00","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020096944,34,"09","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020073804,41,"08","02","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2021002021,44,"99","00","","",""," ","1","1","0","1","3","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2020024138,21,"00","00","00","00","00"," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2020017320,46,"00","00","00","00","97"," ","0","1","0","1","8","  "," ",2,"2","03","03","F","Y",3,"","","","","PA"
2020097215,60,"09","00","00","00","00"," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2020110528,43,"00","97","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2020079918,23,"00","97","","",""," ","0","0","0","0","0","  "," ",3,"1","01","01","M","N",3,"000","","","","PA"
2020055778,34,"08","02","","",""," ","0","1","0","1","3","  "," ",1,"1","10","01","F","Y",1,"","","","","PA"
2020003485,42,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020079429,67,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2020030214,19,"08","02","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2020059311,19,"00","97","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","MD"
2020059800,60,"08","02","03","",""," ","0","1","0","1","2","  "," ",2,"1","03","01","F","Y",2,"","","","","PA"
2020112706,22,"00","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","OK"
2020093668,77,"00","97","97","97","97","2","0","0","0","0","3","02","1",1,"7","00","00","F","Y",2,"","","","","  "
2020050482,68,"08","02","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2020021874,68,"00","00","","",""," ","0","0","0","0","0","  "," ",1,"1","01","01","F"," ",3,"000","","","","PA"
2020018029,18,"09","00","","",""," ","0","1","0","1","0","  "," ",3,"2","03","03","F","N",2,"","","","","PA"
2020046808,57,"08","03","00","",""," ","1","1","0","2","2","  "," ",1,"1","00","01","M","Y",1,"","","","","PA"
2020010199,38,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","01","01","F","N",3,"","","","","PA"
2020043116,48,"09","00","","",""," ","0","1","0","1","0","  "," ",3,"2","03","03","M","N",2,"","","","","PA"
2020078740,84,"08","02","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2020082730,35,"09","00","00","00","00"," ","1","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","OR"
2020059315,58,"08","02","","",""," ","0","1","0","1","9","  "," ",3,"2","03","01","M","N",2,"","","","","PA"
2020007874,32,"09","00","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2020040592,70,"08","01","02","",""," ","0","1","0","1","4","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2020089310,47,"08","02","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020063882,40,"00","00","00","00","00"," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020045674,30,"00","00","","",""," ","0","1","0","1","0","  "," ",2,"2","02","02","M","N",1,"","","","","PA"
2020009130,34,"00","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020019753,31,"09","00","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2020006161,57,"08","02","03","",""," ","0","1","0","1","4","  "," ",2,"1","03","01","F","Y",2,"000","","","","PA"
2020074131,42,"00","02","02","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","M","N",1,"","","","","FL"
2020042233,43,"09","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2020066592,18,"00","02","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2021001439,28,"00","00","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"001","","","","PA"
2020004480,62,"00","00","00","00","00"," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",2,"","","","","PA"
2020055224,37,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2020018940,41,"00","97","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",2,"","","","","ZI"
2020067425,47,"08","02","01","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020113626,22,"09","00","","",""," ","0","1","0","3","0","  "," ",3,"2","03","03","M","N",2,"","","","","PA"
2020035911,25,"00","00","00","00","00"," ","4","0","0","0","4","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2020082347,32,"09","00","","",""," ","0","1","0","2","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2020083711,99,"99","00","","",""," ","9","1","0","1","9","  "," ",1,"1","99","01","U"," ",1,"","","","","  "
2020000383,43,"00","00","00","00","00"," ","0","0","0","0","0","  "," ",1,"1","03","01","F"," ",1,"","","","","PA"
2020099944,28,"00","00","00","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2020073599,36,"00","00","","",""," ","0","1","0","0","0","  "," ",3,"1","03","01","M","N",3,"","","","","PA"
2020071995,50,"00","00","","",""," ","0","1","0","1","0","  "," ",5,"1","03","01","F","N",3,"000","","","","PA"
2020060638,13,"00","97","","",""," ","0","0","0","0","4","  "," ",3,"2","00","11","F","Y",2,"","","","","  "
2020030609,56,"09","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2020008552,58,"08","01","02","03",""," ","0","0","0","0","3","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2020085784,16,"09","00","","",""," ","0","1","0","1","0","  "," ",4,"2","03","06","M","N",1,"","","","","PA"
2020110171,23,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2020017909,25,"08","02","02","00","00"," ","0","1","0","1","4","  "," ",1,"1","03","01","F","Y",2,"","","","","PA"
2020049131,19,"08","02","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2020049474,20,"00","00","","",""," ","1","1","0","1","3","  "," ",1,"1","00","01","F","Y",1,"001","","","","PA"
2020061426,22,"00","00","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2020091140,22,"09","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
