"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2020004135","1","0","PA","6","XKA8277","2020"
"2021001582","1","0","IL","7","669384","2020"
"2020021207","2","0","IN","6","P647282","2020"
"2020026061","2","0","IL","7","604026ST","2020"
"2020027868","2","0","PA","6","PT427H2","2020"
"2020027892","2","0","TN","7","U890934","2020"
"2020027961","1","0","NE","7","250145","2021"
"2020036111","2","0","","8","",""
"2020037094","2","0","PA","7","PT796H5",""
"2020037429","2","0","ME","7","B657742","2020"
"2020045248","1","0","TN","7","U828085","2020"
"2020045603","3","0","PA","7","PT840E8","2021"
"2020055024","2","0","ME","7","22TLR3021E","2020"
"2020055036","2","0","PA","7","PT7806N","2020"
"2020068382","2","0","ME","7","27-9830C","2020"
"2020074040","2","0","PA","3","XKG5981","2021"
"2020074154","2","0","PA","3","PT8197Z","2020"
"2020084731","1","0","PA","6","PT974J1","2021"
"2020088554","2","0","PA","8","XJN1359","2021"
"2020088698","1","0","IN","7","P787167","2020"
"2020089310","1","0","PA","7","PT7115P","2020"
"2020089492","2","0","PA","7","PT583G2","2021"
"2020090084","2","0","","7","",""
"2020101486","2","0","PA","3","XFM0383","2020"
"2020101969","1","0","PA","7","PT835H2","2020"
"2020104736","2","0","PA","3","XLR6169","2019"
"2020009831","1","0","PA","7","PT9365H","2020"
"2020012346","1","0","NC","7","AC45465","9999"
"2020029038","1","0","PA","3","XKG1264","2022"
"2020030328","1","0","ME","7","2268820","2020"
"2020040594","3","0","PA","7","Y","2020"
"2020051268","1","0","PA","3","XGE4939","2024"
"2020054407","2","0","PA","3","PT269G7","2020"
"2020067210","2","0","PA","7","PT0790M","2020"
"2020077442","1","0","PA","6","PT645A9","2019"
"2020079920","1","0","IN","7","P818215","2021"
"2020080921","1","0","PA","6","XDS9021","2020"
"2020083383","1","0","PA","8","XMJ8961","2021"
"2020084421","1","0","","7","",""
"2020084962","1","0","PA","3","XJR3964","2021"
"2020085520","1","0","ME","7","233-3519C","2020"
"2020089269","1","0","PA","3","PT442C1","2020"
"2020097959","2","0","ZZ","7","",""
"2020103621","1","0","PA","6","PT555H6","2021"
"2020107019","2","0","MD","6","A901323","2020"
"2020107194","2","0","IL","7","569050ST","2020"
"2020110999","2","0","PA","3","XZZ8953","2021"
"2020111005","2","0","SC","7","38201PT","2020"
"2020112754","1","0","ZZ","3","ZZZZZZZ","2020"
"2020002943","2","0","","7","",""
"2020006146","2","0","NJ","7","TRN14F","2023"
"2020007983","2","0","CA","7","4RP2981","2020"
"2020012178","2","0","PA","6","XDN3263","2020"
"2020018437","1","0","TN","3","010646T","2020"
"2020018911","2","0","PA","3","XCG4734","2020"
"2020019503","3","0","PA","7","PT1422R","2020"
"2020024353","1","0","","1","",""
"2020030799","1","0","PA","7","PT4745Z","2002"
"2020032952","1","0","PA","3","XLW9608",""
"2020043363","2","0","VA","7","604165TL","2020"
"2020052157","1","0","PA","7","PT848G2","2021"
"2020065888","1","0","ME","7","3117952","2031"
"2020066223","1","0","VA","7","695435TL","2020"
"2020067762","1","0","PA","3","XHL1099","2020"
"2020077230","3","0","PA","3","XHS8687","2023"
"2020077231","2","0","PA","7","PT7974Y","2020"
"2020084970","3","0","PA","7","PT807H7","2020"
"2020085634","1","0","ME","7","2655336","2026"
"2020007988","1","0","OK","7","6589JR","2020"
"2020011652","1","0","PA","7","PT239F5","2018"
"2021005703","2","0","IN","7","P708168","2020"
"2020016351","1","0","PA","7","XDA-3472","2020"
"2020018839","2","0","PA","7","XLG8355","2021"
"2020028725","2","0","","7","",""
"2020030227","2","0","PA","3","XLW0448","2020"
"2020033059","1","0","PA","3","XJA6754","2021"
"2020033772","2","0","PA","3","XHV6483","2020"
"2020042640","3","0","PA","3","",""
"2020042993","2","0","TN","7","U989191","2020"
"2020043588","2","0","TN","7","H1204HY","2018"
"2020045673","1","0","IN","7","P938496","2021"
"2020055025","2","0","PA","7","AG65291","2099"
"2020055509","1","0","ME","7","255563C","2020"
"2020063073","2","0","MO","7","9977PH","2020"
"2020073193","1","0","SC","7","24064PT","2021"
"2020076601","2","0","ME","7","3020840","2030"
"2020080335","2","0","VA","7","638805TL","2020"
"2020085668","1","0","PA","3","PT0930W","2099"
"2020086150","2","0","PA","7","PT791E6",""
"2020088536","2","0","","8","",""
"2020101693","2","0","CA","7","4SR03052","2020"
"2020102233","2","0","PA","7","XLR3254","2020"
"2020003026","1","0","PA","7","ZPB3497","2020"
"2020004961","1","0","ZZ","7","",""
"2020005429","2","0","ME","7","B745041","2020"
"2020018969","2","0","PA","7","PT966F0","2023"
"2020023697","1","0","PA","7","PT5128W","2020"
"2020032672","1","0","MI","7","D8445645","2020"
"2020034618","1","0","TN","7","U811111","2099"
"2020040195","1","0","PA","3","XMC9147","1977"
"2020045124","1","0","","7","",""
"2020045993","1","0","MO","3","31E8XN","2020"
"2020049179","3","0","PA","3","XKM3513","2016"
"2020049209","2","0","PA","7","PT1783N","2020"
"2020057545","2","0","PA","7","PT924B0","2020"
"2020085410","2","0","PA","3","XLL3587","2024"
"2020086366","2","0","","7","",""
"2020089021","4","0","OH","7","L835618","2022"
"2020091169","1","0","PA","3","PT749D6","2021"
"2020092985","1","0","NY","3","BU58150","2020"
"2020093947","2","0","PA","3","XLA9499","2023"
"2020095322","1","0","IL","7","280983ST","2006"
"2020027560","1","0","OH","7","TQT9765","2020"
"2020029017","1","0","PA","3","XLE1383","2019"
"2020031666","3","0","PA","3","XZ40482","2020"
"2020041380","1","0","ZZ","7","UNKNOWN","2020"
"2020045864","2","0","PA","3","XJH6840","2020"
"2020055668","1","0","IL","7","567159ST","2015"
"2020055668","3","0","NY","7","BL52788","2020"
"2020062251","1","0","PA","7","PT4056R","2011"
"2020062876","1","0","MN","7","6976STS","2020"
"2020063134","2","0","PA","8","NONE","2020"
"2020067541","2","0","PA","6","XFS0707","2021"
"2020071993","2","0","PA","6","XHE2188","2021"
"2020076541","1","0","PA","7","PT689E8",""
"2020076838","2","0","PA","7","PT6420H","2007"
"2020077887","2","0","PA","6","PT824D4","2014"
"2020079374","2","0","NJ","7","T747LW","2022"
"2020083938","1","0","TN","3","034134T","2020"
"2020086150","5","0","PA","7","XLS3291","2020"
"2020090977","1","0","PA","7","XN40078","2020"
"2020097015","2","0","","8","",""
"2020099052","1","0","PA","3","XMF3756","2000"
"2020104736","1","0","NY","7","848581R","2020"
"2020105432","3","0","PA","3","XMG1499","2021"
"2020107779","2","0","PA","7","PT611B5","9999"
"2020112707","1","0","","7","",""
"2020012838","1","0","PA","7","PT146A4","2016"
"2020013592","2","0","","3","",""
"2020017179","2","0","PA","7","PT6475Y","2020"
"2020021651","2","0","PA","7","PT1069Y","2015"
