"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021013873,"03","9","965 N STATE ST","","EPHRATA","PA","17522","HURST HAULING","7172053503","016860","","","","","N","","","","","","N","","1","00561679","99"
2021035248,"99","2","419 WEST HIGH STREET","","ELIZABETHTOWN","PA","17022","WHITE OAK MILLS","7173671525","080000","","","","","N","","","","","","N","","2","00174508","08"
2021042781,"02","3","58 N DONNERVILLE RD","","MOUNTVILLE","PA","17554","PATRIOT ST DENIS TOWING","7172850100","019500","","","","","N","","","","","","N","","1","01138494","03"
2021063205,"99","9","4361 OREGON PK","","EPHRATA","PA","17522","GOOD'S DISPOSAL SERVICE","7178591879","","","","","","","","","","","","N","","2","02074205","99"
2021063606,"03","9","240 TOWNSHIP RD","","DOWNINGTOWN","PA","19335","ARTERS TRUCKING","6102697953","073280","","","","","N","","","","","","N","","2","00940704","04"
2021065708,"02","1","1760 ROHRERSTOWN ROAD","","LANCASTER","PA","17601","SHAWNEE TRUCKING PA INC","7176846100","025950","","","","","N","","","","","","N","A-00121557","1","01342517","03"
2021066345,"05","1","801 GALLERIA DR","","WILLIAMSTOWN","NJ","08094","POWICK, RONALD WILLIAM","8562971752","080000","","","","","N","","","","","","N","0","2","00847210","08"
2021108556,"03","4","PO BOX 2886","","YORK","PA","17405-2886","KINSLEY CONSTRUCTION INC","7173242555","073280","","","","","N","","","","","","N","A-00115987","2","00207244","04"
2021006302,"03","4","PO BOX 10","","TERRE HILL","PA","17581","TERRE HILL CONCRETE","8002421509","073280","","","","","N","","","","","","N","","3","00011505","04"
2021014447,"02","3","344 SCHLOUCH RD","","MOHNTON","PA","19540","STAUFFER, JESSE AARON","7172838856","019500","","","","","N","","","","","","N","","2","02154644","03"
2021022939,"03","7","147 HARRISTOWN RD","","PARADISE","PA","17562","JOHN STOLTZFUS","8565038572","080000","","","","","N","","","","","","N","A-2579096","2","00450419","04"
2021030964,"05","1","500 N STATE ST","","YORK","PA","17403","FIRST CAPITAL FIBERS","7178129601","080000","","","","","N","","","","","","N","0","2","02044341","08"
2021034165,"02","8","2701 E CUMBERLAND ST","","LEBANON","PA","17042","BLUE BIRD","7175191506","031000","","","","","N","","","","","","N","","3","","12"
2021038781,"02","3","200 BRIMMER AVE","","NEW HOLLAND","PA","17557","MUSSELMAN LUMBER","7173544321","019500","","","","","N","","","","","","U","","3","02455787","09"
2021113832,"02","6","889 MANOR ST","","LANCASTER","PA","17603","VT TOWING & TRANSPORT","7175388731","012400","","","","","N","","","","","","N","","1","03569302","09"
2021123289,"05","1","631 1ST STREET","","NUNN","CO","80648","STEVEN ANDERSON","9703811579","080000","","","","","N","","","","","","","","3","00712194","08"
2021124792,"99","99","195 N HARBOR DR APT 4607","","CHICAGO","IL","60601","SMART FREIGHT EXPRESS INC","2193344629","999999","","","","","N","","","","","","","","1","","08"
2021012848,"01","1","1155 ENTERPRISE RD","","EAST PETERSBURG","PA","17520","UNITED POSTAL SERVICE","8007425877","015200","","","","","N","","","","","","N","","1","00021800","02"
2021041425,"02","9","330 MILLWOOD RD","","LANCASTER","PA","17603","CK MANUFACTURING","7174642166","026000","","","","","N","","","","","","N","","1","01758432","00"
2021068298,"03","1","1958 N. HIDDEN CREEK CIRCLE. U","","PALATINE","IL","60074","VIVA EXPRESS","0000000000","080000","","","","","N","","","","","","N","","1","02412352","08"
2021079003,"05","3","492 COMPASS RD","","GAP","PA","17527","LANTZ TRANSPORT LLC","8142323417","080000","","","","","N","","","","","","N","","1","00991883","08"
2021092019,"03","1","501 W STOCKMAN ST","","WOODVILLE","WI","54028","KING TRANSPORT","6122249063","080000","","","","","N","","","","","","","","2","01376532","08"
2022025093,"05","4","PO BOX 128","","CHRISTIANA","PA","17509","D&K  GRAHAM TRUCKING INC.","6105935240","080000","","","","","N","","","","","","","","1","00035196","08"
2021043251,"03","1","7400 FM 2449","","PONDER","TX","76259","TITUS TRANSPORT","9405148519","999999","","","","","N","","","","","","N","","1","01332220","08"
2021046238,"06","2","185 GRANITE STATION ROAD","","GETTYSBURG","PA","17325","AG COM","7176248249","026001","","","","","N","","","","","","N","","2","00276343","08"
2021059462,"05","1","2460 KERPER BLVD","","DUBUQUE","IA","52001","HIRSCHBACH MOTOR LINES INC","8442412958","080000","","","","","N","","","","","","N","","3","00065769","08"
2021060007,"03","3","1853 WILLIAM PENN WAY","","LANCASTER","PA","17601","HIGH TRANSIT LLC","7172934444","080000","","","","","N","","","","","","N","","3","00166483","08"
2021100111,"02","2","125 SHADY LANE","","QUARRYVILLE","PA","17566","O'DONNELL BROTHERS TRANSPORTATIO","7175875776","080000","","","","","N","","","","","","N","","2","01579061","08"
2021106076,"02","4","893 NARVON ROAD","","NARVON","PA","17555","SILVER HILL BUILDERS","7173819146","015000","","","","","N","","","","","","N","A-00999999","2","01638977","09"
2021051527,"03","1","148 BOXWOOD LANE","","CINNAMINSON","NJ","08077","DE CAVALHO CORP","7179999999","080000","","","","","N","","","","","","N","","2","02155364","08"
2022000650,"99","8","45 ERICK ROAD","","LANCASTER","PA","17601","SOUTH CENTRAL TRANSIT AUTHORITY","9999999999","999999","","","","","N","","","","","","","","1","","13"
2022000650,"04","7","85 BRICKYARD ROAD PO BOX 3066","","MANCHESTER","PA","17345","PENN WASTE INC","9999999999","073280","","","","","N","","","","","","","","2","02070588","04"
2022004969,"03","99","BLACKWOOD","","BLACKWOOD","NJ","08012","WILKIE TRUCKING","8564234900","080000","","","","","N","","","","","","","","1","00463274","08"
2022015242,"05","7","575 TRESTLE PLACE","","DOWNINGTOWN","PA","19335","JM TRANSPORTATION INC","2672280840","080000","","","","","N","","","","","","","","2","02467226","08"
2021014507,"05","3","1981 E MOUNT HOPE ROAD","","MANHEIM","PA","17545","ZEISET TRANSPORT","7172786460","078000","","","","","N","","","","","","N","","1","02147999","08"
2021017908,"05","1","310 N ZARFOSS DR.","","YORK","PA","17404","A&S SERVICES LLC","7177923632","080000","","","","","N","","","","","","N","","1","01880751","08"
2021023874,"99","8","8 BEAVER VALLEY PIKE","","WILLOW STREET","PA","17584","SHULTZ TRANSPORTATION CO","7174645800","029000","","","","","N","","","","","","N","","1","00058638","12"
2021028883,"02","1","505 PRINCE GEORGE DR","","LANCASTER","PA","17601","LARSEN LOGISTICS INC","7173142143","026000","","","","","N","","","","","","N","","2","00265752","03"
2021034828,"05","4","148 BOXWOOD LANE","","CINNAMINSON","NJ","08077","DECAVALHO CORP","2672280840","080000","","","","","N","","","","","","N","","1","02155364","08"
2021073819,"05","1","2200 S 75TH AVE","","PHOENIX","AZ","85043","SWIFT TRANSPORATION","8008002200","080000","","","","","N","","","","","","N","","2","00054283","08"
2021095006,"99","99","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","","","2","","08"
2021018782,"99","8","8 BEAVER VALLY PIKE","","WILLOW STREET","PA","17584","SHULTZ TRANSPORTATION COMP","9999999999","999999","","","","","N","","","","","","U","","2","","12"
2021028581,"03","1","965 NORTH STATE STREET","","EPHRATA","PA","17522","HURST HAULING","7174055442","080000","","","","","N","","","","","","U","A00121140","2","00056167","08"
2021037709,"05","1","55 WOODCREST DR.","","EPHRATA","PA","17522","TIMBER RIDGE","7176293467","080000","","","","","N","","","","","","N","8915155","1","02281427","08"
2021070691,"99","0","ONE MASSACHUSETTS AVE NW","","WASHINGTON","DC","20001","AMTRAK NATIONAL RAILROAD PASSENG","9999999999","999999","","","","","N","","","","","","U","","4","","02"
2021093545,"02","0","45 ERICK RD","","LANCASTER","PA","17603","RED ROSE TRANSIT AUTHORITY","7173975613","","","","","","","","","","","","","","1","","13"
2021117612,"02","0","43 INDUSTRIAL ROAD","","EPHRATA","PA","17522","LANDIS LANDSCAPING","7172019915","","","","","","N","","","","","","N","0","2","02298900","00"
2021119973,"03","2","161 OAK BOTTOM ROAD","","QUARRYVILLE","PA","17566","ECOTECH HYDRO EXCAVATION","7174901100","073280","","","","","N","","","","","","N","","1","02826518","04"
2021081491,"03","1","10 ENTERPRISE CT.","","LEBANON","PA","17042","EVERLAST ROOFING INC.","0000000000","052000","","","","","N","","","","","","N","","2","00701453","04"
2021103445,"05","1","4242 S 1ST AVENUE UNIT F7","","LYONS","IL","60534","SPACE 9 CORPORATION","6309746094","045000","","","","","N","","","","","","N","","2","03223108","08"
