"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"2204","2","0","0","0","0","0","0","0","0","4","0","","36","02","2021","2021015492","3","40.0519","-76.396","2201","08","1","0","0","0","0","0","0","0","","0","0","0","21","3","0","02","2","40 03:06.700","2","00","76 23:45.516","0","0","0","0","36214","0","0","0","N","0","0","0","2","36214","0","","1","01","N","N","0","","0","0","0","3","2","N","2155","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","2241","03","03","","N",""
"0502","1","0","0","0","0","0","0","0","0","7","0","","36","02","2021","2021014466","5","40.1002","-76.0218","0455","08","0","0","0","0","0","0","0","0","","0","0","0","04","2","0","00","0","40 06:00.636","","00","76 01:18.535","0","0","0","0","36213","0","0","0","N","0","0","0","1","36213","0","","5","07","N","N","0","","0","0","0","0","0","","0440","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","10","","","N","N"
"2020","1","0","0","0","0","0","0","0","0","7","0","","36","02","2021","2021017046","4","40.106","-76.2842","2013","08","0","0","1","0","0","0","0","0","","0","0","0","20","2","0","00","0","40 06:21.620","","00","76 17:02.990","0","0","0","0","36101","0","0","0","N","0","0","0","1","36101","0","","5","01","N","N","0","","0","0","0","0","0","","2010","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","","","N","N"
"2318","0","0","0","0","0","0","0","0","0","5","0","","36","02","2021","2021016067","7","40.124","-76.4721","2318","08","0","0","0","0","0","0","0","0","","0","0","0","23","2","0","00","0","40 07:26.233","","00","76 28:19.514","0","0","0","0","36230","0","0","0","N","0","0","0","1","36410","0","","1","01","N","N","0","","0","0","1","0","0","","2318","0","2","0","0","1","0","0","1","0","2","N","","","","","","","","","","","","03","","","N","N"
"1315","0","0","0","0","0","0","0","0","0","1","0","","36","02","2021","2021014659","6","40.1232","-76.0171","1308","08","0","0","0","0","1","1","0","0","","0","0","0","13","1","0","00","0","40 07:23.697","","00","76 01:01.486","0","0","0","0","36213","0","0","0","N","0","0","0","3","36213","0","","1","01","N","N","0","","0","0","2","0","0","","1308","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","","","N","N"
"2056","2","0","0","0","0","0","0","0","0","4","0","","36","02","2021","2021014863","6","40.2007","-76.1718","2053","08","1","0","0","0","0","0","0","1","","0","0","0","20","2","0","01","1","40 12:02.510","6","00","76 10:18.574","0","0","0","0","36218","0","0","0","N","0","0","0","2","36408","0","","1","01","N","N","0","","0","0","0","3","3","Y","2050","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","2130","03","03","","N","N"
"0529","1","0","0","0","0","0","0","0","0","7","0","","36","02","2021","2021017207","7","40.0341","-76.2424","0500","08","0","0","0","0","0","0","0","0","","0","0","0","04","2","0","07","0","40 02:03.088","","00","76 14:32.709","0","0","0","0","36215","0","0","0","N","0","0","0","1","36215","0","","5","01","N","N","0","","0","0","0","0","0","","0458","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","04","","","N",""
"0249","1","0","0","0","0","0","0","0","0","7","0","","36","04","2021","2021032286","5","40.1554","-76.2616","0247","08","0","0","0","0","0","0","0","0","","0","0","0","02","2","1","00","2","40 09:19.360","7","00","76 15:41.810","3","0","0","0","36235","0","0","0","N","0","0","0","1","36506","0","","5","01","N","N","0","","1","0","0","0","0","Y","0247","1","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","0100","03","03","","N","N"
"1058","0","0","0","0","0","0","0","0","0","7","0","","36","01","2021","2021017253","1","39.9083","-76.2195","1044","08","0","0","0","0","0","1","0","0","","0","0","0","10","1","0","00","2","39 54:29.700","5","00","76 13:10.160","0","0","0","0","36229","0","0","0","N","0","0","0","1","68J01","0","","4","02","N","N","0","","0","0","1","0","0","N","1043","0","1","0","0","1","0","0","1","0","1","N","","","","","","","","","","","1130","10","","","N","N"
"0640","2","0","0","0","0","0","0","0","0","2","0","","36","02","2021","2021016065","4","40.1931","-76.4698","0624","08","0","0","0","0","0","0","0","0","","0","0","0","06","2","0","00","2","40 11:35.140","6","00","76 28:11.190","9","0","0","0","36230","0","0","0","N","0","0","0","2","36410","0","","1","02","N","N","0","","0","0","0","0","0","Y","0622","0","2","0","0","0","0","2","1","0","2","N","","","","","","","","","","","0709","02","","","N","N"
