"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2021027022","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2021040748","U","N","Y","Y","Y","Y","1","Y","N","00500","N","","","","","","","","N","","","","","2"
"2021028628","Y","Y","N","Y","N","Y","2","Y","Y","01442","N","","","","","","","","N","","","","","2"
"2021074153","Y","N","N","Y","N","Y","2","N","N","00049","N","","","","","","","","N","","","","","1"
"2021060415","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2021076572","N","Y","Y","Y","U","Y","1","Y","Y","00000","N","","","","","","","","N","","","","","1"
"2021086490","N","U","U","U","U","U","9","U","U","00600","U","","","","","","","","N","","","","","1"
"2021100633","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2021095003","N","Y","U","Y","U","N","0","Y","N","00660","N","","","","","","","","N","","","","","1"
"2021059224","N","U","Y","U","N","N","0","Y","N","01584","Y","U","N","N","N","0","Y","N","N","","","","","1"
"2021063562","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2021089026","N","N","Y","Y","Y","U","1","N","U","01000","N","","","","","","","","N","","","","","1"
"2021058137","N","N","U","Y","N","Y","2","N","N","00600","N","","","","","","","","N","","","","","2"
"2021086987","Y","U","N","Y","U","U","9","U","U","01500","N","","","","","","","","N","","","","","1"
"2021089864","N","U","Y","N","N","N","0","U","N","01690","N","","","","","","","","N","","","","","1"
"2021069261","N","N","N","N","N","N","0","Y","N","00650","N","","","","","","","","N","","","","","1"
"2021102493","Y","N","N","Y","N","N","0","N","N","01350","N","","","","","","","","N","","","","","1"
"2021080606","","","","","","","","","","","","","","","","","","","","Y","Y","N","Y","2"
"2021033445","N","Y","U","Y","Y","Y","1","Y","Y","00250","N","","","","","","","","N","","","","","1"
"2021028628","Y","U","U","Y","N","U","2","U","U","01868","N","","","","","","","","N","","","","","1"
"2021067406","N","N","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021066764","N","N","N","Y","N","N","0","Y","N","00049","N","","","","","","","","N","","","","","1"
"2021062679","Y","Y","U","Y","N","N","0","Y","N","99999","N","","","","","","","","N","","","","","1"
"2021061333","Y","N","Y","Y","Y","Y","1","Y","N","00125","N","","","","","","","","N","","","","","2"
"2021068918","Y","N","U","Y","Y","Y","1","Y","N","01800","N","","","","","","","","N","","","","","1"
