"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021019913","3","3","0441","0072","977","N","2","35","FRONT ST","2","3","36"
"2021095016","4","4","3009","0250","0","N","2","35","MILLWOOD RD","2","3","36"
"2021006784","3","3","4008","0530","193","E","2","40","BRUBAKER VALLEY RD","2","3","36"
"2021073088","3","4","","","","S","02","25","STEVENS AV","4","","36"
"2021024122","3","3","4020","0174","2370","E","3","35","HARRISBURG PK","2","3","36"
"2021049884","5","6","4042","0031","0","W","2","45","CHESTER RD","2","3","36"
"2021095054","4","4","1040","0010","0","E","2","35","COL. HOWARD BL","2","2","36"
"2021001588","4","5","","","","N","02","","SUNSET AV","4","","36"
"2021101884","3","3","0300","0280","2363","E","2","65","","2","1","36"
"2021076570","6","6","8032","0500","724","S","01","35","RAMP G RD","2","1","36"
"2021119968","5","5","","","","E","02","25","FOXSHIRE DR","4","","36"
"2021067693","7","6","","","","N","02","35","PROSPECT RD","4","","36"
"2021083201","3","3","0072","0131","3159","S","2","35","MANHEIM PK","2","3","36"
"2021080278","3","3","0772","0290","552","E","2","30","HIGH ST","2","3","36"
"2021109501","3","3","","","","S","01","25","SPENCER AV","4","","36"
"2021018090","4","4","","","","E","02","","VINE ST","4","","36"
"2021111081","3","3","7076","0090","2112","W","4","65","MAINLINE TU","5","1","36"
"2021071390","5","4","","","","E","03","","EDEN RD","4","","36"
"2021117683","6","6","","","","W","02","35","TURNPIKE RAMP RD","4","","36"
"2021109755","4","5","","","","W","02","25","ORE MINE RD","4","","36"
"2021124572","3","3","0072","0250","2161","S","2","55","LANCASTER RD","2","3","36"
"2021021868","3","3","0030","0160","1014","E","2","55","LINCOLN HW","2","1","36"
"2021126004","3","3","7076","0210","3168","E","4","65","EAST/WEST PK","5","1","36"
"2021078188","3","3","0030","0351","830","W","3","40","LINCOLN HW","2","3","36"
"2021059266","3","3","4008","0460","0","E","2","35","NEWPORT RD","2","3","36"
"2021065028","3","3","0272","0304","334","N","2","45","LANCASTER PK","2","3","36"
"2021106775","3","3","","","","N","02","25","PAPER MILL RD","4","","36"
"2021061518","3","3","","","","S","02","35","PROSPECT RD","4","","36"
"2021103853","3","3","0300","0121","1095","W","2","65","","2","1","36"
"2022009949","3","3","3010","0020","999","S","2","45","SCOTLAND RD","2","3","36"
"2021116939","4","4","","","","W","02","35","FAIRVIEW RD","4","","36"
